interaction_id,date,month_bucket,icp,pain_area,duration_min,score
52c5e99f-6a74-4691-a168-095785d26830,2026-03-28,2026-03,Student,Financing,5,0.51
ef24a40b-49da-4e03-90a3-ad85aa5fb605,2026-03-20,2026-03,Couple,Right Vehicle,33,-0.08
1a95d337-de7f-4a6a-a0bc-c474cbc60ff1,2026-03-03,2026-03,Large Family,Financing,40,-0.91
d4537be9-7676-474d-b7e8-d093cf137cbf,2026-03-31,2026-03,Couple,Budget,4,0.05
2222f233-95f4-47f4-91be-225ab96597ea,2026-03-27,2026-03,Low Income,Budget,18,0.84
ce53348d-2827-454a-bb8f-61a9cb07c580,2026-03-19,2026-03,Student,Financing,10,0.34
83b077bb-fff5-4ba3-a30c-b51a7cfc67f1,2026-03-27,2026-03,Low Income,Right Vehicle,40,0.31
54dc9181-68d5-421b-99e9-a2ce27f4666f,2026-03-05,2026-03,Low Income,Economy,32,-0.61
f1599c00-8ce9-4140-a773-4e14e11f795f,2026-03-03,2026-03,Large Family,Budget,7,0.17
a6c311e0-528f-4955-b738-4e76657806a0,2026-03-23,2026-03,Low Income,Financing,29,0.66
3b7170a3-83de-4a56-a9e5-e47a50e5d372,2026-03-20,2026-03,Business,Right Vehicle,30,0.15
60c95993-06ed-4e81-b399-8701fe914d7d,2026-03-21,2026-03,Couple,Financing,8,0.09
d3a6e6c7-64d8-4e78-9836-44f8e5f780b0,2026-03-01,2026-03,Large Family,Economy,36,0.2
6ff1cde5-aa48-47c1-bd0e-3bdc793bf8f9,2026-03-12,2026-03,Large Family,Economy,35,0.99
291dc796-457b-4ec9-aa16-fc2e49a4975b,2026-03-18,2026-03,Low Income,Budget,22,-0.73
44ec5058-2e0b-41f0-a4f3-37e6af60166b,2026-03-24,2026-03,Large Family,Right Vehicle,29,0.23
0e816a01-e2cc-4052-beb2-a729eee9784e,2026-03-04,2026-03,Student,Right Vehicle,35,0.73
c1503912-6d8e-4bce-918f-fda37c5a8e90,2026-03-10,2026-03,Business,Economy,28,0.76
a1d3f3a9-0881-418e-902e-9487000537c3,2026-03-09,2026-03,Business,Budget,5,-0.55
9f42da50-0cda-42b9-aa23-d4b0e581fc40,2026-03-07,2026-03,Couple,Availability,27,0.91
49b1d80f-ae99-4d27-ac94-31ffdad04751,2026-03-16,2026-03,Large Family,Financing,13,-0.97
89aa6720-2de0-4aa5-a906-5eba4d5c2e35,2026-03-16,2026-03,Large Family,Budget,26,0.66
6f550be4-6076-432a-a238-18c15ba316f9,2026-03-10,2026-03,Family,Economy,17,-0.91
e0714119-8bca-44ee-a339-e4ecdf27b09d,2026-03-22,2026-03,Couple,Right Vehicle,36,0.24
76cc523b-f1b0-498b-9840-74e188cc77d3,2026-03-24,2026-03,Low Income,Budget,18,-0.29
4b1a8d1a-5c1b-4d06-aff5-9bc197f60c35,2026-03-12,2026-03,Student,Financing,40,-0.86
9df30d39-6997-4ccc-ae2e-798fa3cfce27,2026-03-06,2026-03,Couple,Availability,38,-0.28
d1666ff0-9f8a-4f99-990e-97a43271d0c0,2026-03-24,2026-03,Family,Right Vehicle,11,0.99
9a66acb0-73cb-4c41-919f-d067b8a8f45e,2026-03-14,2026-03,Low Income,Economy,13,-0.25
d943a129-d858-400b-b4eb-f7ae849f926a,2026-03-10,2026-03,Student,Economy,14,0.7
a7eb96eb-0bda-4c13-9bcb-5df77ebebe51,2026-03-31,2026-03,Family,Financing,4,-0.55
c87f9583-db74-4e0a-87a8-282378e5095b,2026-03-04,2026-03,Large Family,Availability,13,0.92
af7e60a9-4aba-42a7-881f-20117a5bb5dc,2026-03-19,2026-03,Large Family,Availability,37,-0.76
1c4c7127-d5cf-4eb7-9646-f18c5e463ecd,2026-03-04,2026-03,Large Family,Financing,17,0.71
40ca5b5d-42d4-43a8-8332-4e7681b6ecc6,2026-03-15,2026-03,Family,Budget,20,0.83
dadc3069-3b74-4e36-ac3b-a0988393b75d,2026-03-10,2026-03,Large Family,Budget,6,-0.86
d7ee6715-a93a-4686-943b-81d8c1876a6e,2026-03-24,2026-03,Couple,Financing,11,0.88
2dca3a50-1a0d-4124-90cc-9011cd6eb683,2026-03-18,2026-03,Family,Right Vehicle,16,0.64
511d3d8b-2638-4f32-9d7e-4bf4dfbfe993,2026-03-15,2026-03,Low Income,Economy,29,0.84
263d0d17-1671-4fb8-97d7-0605058382e2,2026-03-14,2026-03,Student,Availability,27,0.85
56da64cc-b7e4-4e33-9ac7-d6dc02b06efb,2026-03-02,2026-03,Student,Budget,2,0.48
cda1e171-74df-462c-a226-bd48ded03762,2026-03-11,2026-03,Couple,Budget,5,0.4
